profile_id,condition,gender,year_birth,race,education,income,party,trust_competent_1,trust_intelligent_1,trust_qualified_1,trust_honest_1,trust_ethical_1,trust_sincere_1,trust_concerned_1,trust_improve_1,trust_considerate_1,trust_feedback_1,trust_transparent_1,trust_attention_1,funding_5,inst_trust_epa_1,inst_trust_nasa_1,inst_trust_noaa_1,inst_trust_uni_1,inst_trust_gov_1,policy_1_1,policy_2_1,policy_3_1,policy_4_1,trust_post_1,distrust_1,donation,newsletter,belief_post_1,concern_1_1,concern_2_1,concern_3_1,individual_meat_1,individual_transport_1,individual_solar_1,individual_fly_1,individual_talk_1,individual_donate_1,policy_general_1,policy_specific_1_1,policy_specific_2_1,policy_specific_3_1,policy_specific_4_1,policy_specific_5_1,policy_specific_6_1,policy_specific_7_1
p00001,Measurement & modeling (1),Male,1989,White / Caucasian,Some college or Associate's degree,"$30,000 to $55,999",Republican,80,42,59,56,9,34,25,12,38,66,7,27,25,26,46,26,46,6,23,14,48,22,17,90,2,2,25,36,2,4,7,19,8,37,19,7,14,0,39,68,55,8,54,26
p00002,High public trust,Male,1995,Black / African American,Some college or Associate's degree,"$56,000 to $99,999",Democrat,80,86,97,100,77,100,93,61,63,76,77,82,50,54,97,100,90,23,92,100,100,69,91,96,2,2,87,96,100,92,28,100,16,28,50,56,76,74,100,92,96,61,53,98
p00003,Extreme weather predictions,Male,1987,White / Caucasian,High school diploma / GED,"Less than $30,000",Republican,20,50,20,20,20,20,30,30,20,10,20,20,70,10,30,40,20,10,50,30,50,50,20,90,1,2,10,20,30,30,20,50,20,40,10,10,10,20,20,40,50,40,60,50
p00004,Social justice,Female,1981,White / Caucasian,High school diploma / GED,"$56,000 to $99,999",Republican,60,70,40,20,35,75,50,35,55,45,40,50,20,55,20,15,35,30,30,40,60,65,45,15,4,2,50,25,50,45,20,75,5,55,20,30,25,15,25,30,25,5,10,40
p00005,Portrait Prof. Cherry,Male,1993,White / Caucasian,Master's degree / Professional degree,"$168,000 or more",Republican,90,80,70,40,70,90,80,90,90,90,80,80,90,10,100,70,80,50,70,0,80,30,70,10,4,2,60,20,20,0,10,40,20,10,10,60,20,10,0,40,60,10,10,10
p00006,Model accuracy,Male,1970,White / Caucasian,Bachelor's degree,"$100,000 to $167,999",Republican,93,94,93,90,61,48,82,57,77,84,72,62,60,0,94,42,64,56,47,100,43,69,65,11,5,2,39,50,0,55,99,71,0,97,40,53,0,0,10,34,100,44,11,75
p00007,Portrait Prof. Cherry,Male,1999,Hispanic / Latino,Some college or Associate's degree,"$30,000 to $55,999",Republican,45,85,50,15,65,30,0,80,15,80,100,30,100,25,70,25,40,35,65,85,95,65,0,0,4,2,15,80,80,60,75,5,5,35,0,80,70,0,95,55,95,20,80,80
p00008,Oil industry misinformation,Male,2004,White / Caucasian,High school diploma / GED,"Less than $30,000",Democrat,50,50,60,80,65,55,70,45,90,65,40,45,30,50,75,30,70,65,70,65,60,75,85,20,6,2,75,45,85,70,60,70,65,80,85,50,70,90,90,85,60,55,70,80
p00009,Model accuracy,Female,1966,White / Caucasian,Some college or Associate's degree,"$30,000 to $55,999",Republican,70,90,30,30,50,60,90,0,40,30,50,50,50,100,60,60,80,10,20,80,60,10,60,20,0,2,30,20,90,10,10,0,10,10,20,60,0,0,30,0,40,0,50,70
p00010,Consensus,Male,2004,Black / African American,Less than high school,"Less than $30,000",Democrat,90,50,60,60,60,10,30,50,60,60,90,20,20,10,60,70,60,70,80,50,80,90,50,20,5,1,90,60,90,90,70,60,60,60,80,70,80,70,60,80,80,30,80,80
