profile_id,condition,gender,year_birth,race,education,income,party,trust_competent_1,trust_intelligent_1,trust_qualified_1,trust_honest_1,trust_ethical_1,trust_sincere_1,trust_concerned_1,trust_improve_1,trust_considerate_1,trust_feedback_1,trust_transparent_1,trust_attention_1,funding_5,inst_trust_epa_1,inst_trust_nasa_1,inst_trust_noaa_1,inst_trust_uni_1,inst_trust_gov_1,policy_1_1,policy_2_1,policy_3_1,policy_4_1,trust_post_1,distrust_1,donation,newsletter,belief_post_1,concern_1_1,concern_2_1,concern_3_1,individual_meat_1,individual_transport_1,individual_solar_1,individual_fly_1,individual_talk_1,individual_donate_1,policy_general_1,policy_specific_1_1,policy_specific_2_1,policy_specific_3_1,policy_specific_4_1,policy_specific_5_1,policy_specific_6_1,policy_specific_7_1
p00001,Scientist community helpers,Male,1989,White / Caucasian,Some college or Associate's degree,"$30,000 to $55,999",Republican,17,72,14,20,31,9,36,21,58,19,23,23,36,21,30,42,18,8,18,33,33,47,27,21,0,2,17,60,10,11,44,12,37,64,27,60,60,75,35,28,32,47,43,38
p00002,Measurement & modeling (2),Male,1995,Black / African American,Some college or Associate's degree,"$56,000 to $99,999",Democrat,80,60,60,90,80,90,90,90,80,80,90,70,80,70,80,80,60,70,80,80,70,70,90,20,8,1,90,80,80,60,60,90,70,50,80,50,70,80,70,90,80,80,50,90
p00003,Interview Prof. Maraun,Male,1987,White / Caucasian,High school diploma / GED,"Less than $30,000",Republican,30,30,10,30,10,30,30,10,20,50,20,20,20,10,30,10,10,10,40,40,40,30,10,10,0,2,60,20,10,30,20,40,30,50,30,10,30,10,40,20,40,10,30,20
p00004,Scientist community helpers,Female,1981,White / Caucasian,High school diploma / GED,"$56,000 to $99,999",Republican,60,65,50,70,65,45,60,35,45,50,60,80,90,30,20,50,25,70,70,75,80,55,55,65,0,2,65,90,45,35,50,60,50,20,30,60,45,40,50,65,50,65,70,75
p00005,Measurement & modeling (2),Male,1993,White / Caucasian,Master's degree / Professional degree,"$168,000 or more",Republican,80,65,65,75,30,40,60,20,75,70,75,75,55,60,35,80,45,60,25,10,45,25,90,25,0,2,55,20,20,10,85,50,35,70,50,60,15,20,20,10,10,25,35,35
p00006,Model accuracy,Male,1970,White / Caucasian,Bachelor's degree,"$100,000 to $167,999",Republican,43,55,60,4,1,22,85,56,78,22,36,51,90,44,18,5,2,31,20,100,72,44,75,34,0,2,27,4,33,52,5,18,7,6,33,43,18,10,47,13,47,48,5,14
p00007,Extreme weather predictions,Male,1999,Hispanic / Latino,Some college or Associate's degree,"$30,000 to $55,999",Republican,70,65,75,75,50,60,80,70,75,50,70,65,85,90,80,45,75,45,60,80,75,85,75,45,2,2,55,85,90,30,55,50,35,30,65,40,90,75,55,45,45,80,55,90
p00008,Scientist community helpers,Male,2004,White / Caucasian,High school diploma / GED,"Less than $30,000",Democrat,65,45,90,60,25,65,85,75,50,55,50,65,65,55,55,90,60,65,90,80,90,90,60,40,1,2,80,90,85,85,60,25,55,55,25,35,80,75,80,85,75,80,85,80
p00009,High public trust,Female,1966,White / Caucasian,Some college or Associate's degree,"$30,000 to $55,999",Republican,75,25,0,50,25,50,50,50,50,50,50,25,50,25,50,75,25,25,50,25,50,50,25,0,6,2,75,0,25,25,50,0,0,0,25,0,75,75,75,25,25,75,50,50
p00010,High public trust,Male,2004,Black / African American,Less than high school,"Less than $30,000",Democrat,40,20,60,50,30,30,30,60,40,30,70,40,80,60,40,50,70,70,70,60,50,50,10,70,0,2,90,30,70,50,20,10,30,10,30,10,20,70,80,20,30,70,50,80
p00011,Funding,Female,1981,White / Caucasian,Master's degree / Professional degree,"$56,000 to $99,999",Democrat,70,70,70,60,100,70,90,60,70,60,70,70,80,60,60,70,50,80,90,100,80,90,50,20,5,2,60,100,90,90,20,50,80,70,30,0,90,90,100,80,100,90,100,80
p00012,Peer-review,Male,1992,White / Caucasian,Master's degree / Professional degree,"$56,000 to $99,999",Republican,80,90,90,80,55,80,90,90,85,90,80,65,85,85,90,55,85,20,40,50,75,60,75,15,0,2,70,30,15,55,60,85,10,50,85,15,25,50,35,50,25,45,40,70
p00013,High public trust,Female,1971,Black / African American,Some college or Associate's degree,"Less than $30,000",Democrat,95,75,50,85,90,90,85,90,65,55,90,30,40,100,75,65,55,70,85,50,90,100,90,65,8,2,65,95,95,95,90,95,5,95,35,80,80,65,95,95,95,35,75,70
