profile_id,condition,gender,year_birth,race,education,income,party,trust_competent_1,trust_intelligent_1,trust_qualified_1,trust_honest_1,trust_ethical_1,trust_sincere_1,trust_concerned_1,trust_improve_1,trust_considerate_1,trust_feedback_1,trust_transparent_1,trust_attention_1,funding_5,inst_trust_epa_1,inst_trust_nasa_1,inst_trust_noaa_1,inst_trust_uni_1,inst_trust_gov_1,policy_1_1,policy_2_1,policy_3_1,policy_4_1,trust_post_1,distrust_1,donation,newsletter,belief_post_1,concern_1_1,concern_2_1,concern_3_1,individual_meat_1,individual_transport_1,individual_solar_1,individual_fly_1,individual_talk_1,individual_donate_1,policy_general_1,policy_specific_1_1,policy_specific_2_1,policy_specific_3_1,policy_specific_4_1,policy_specific_5_1,policy_specific_6_1,policy_specific_7_1
p00001,Scientist community helpers,Male,1989,White / Caucasian,Some college or Associate's degree,"$30,000 to $55,999",Republican,14,24,17,36,22,20,25,20,19,23,20,9,22,14,25,23,14,18,66,9,47,26,10,82,1,2,38,34,11,9,12,35,21,17,20,35,29,21,52,52,89,12,16,40
p00002,Measurement & modeling (2),Male,1995,Black / African American,Some college or Associate's degree,"$56,000 to $99,999",Democrat,80,60,80,70,70,70,80,50,50,40,50,50,10,60,70,80,90,50,80,80,70,80,90,30,4,1,70,30,60,90,80,10,50,40,80,70,70,70,60,80,90,40,80,60
p00003,Interview Prof. Maraun,Male,1987,White / Caucasian,High school diploma / GED,"Less than $30,000",Republican,30,10,20,10,40,20,70,20,40,10,20,30,50,40,10,30,20,10,40,40,30,10,40,60,2,2,10,40,20,40,20,20,20,20,30,10,20,20,50,30,60,10,10,40
p00004,Scientist community helpers,Female,1981,White / Caucasian,High school diploma / GED,"$56,000 to $99,999",Republican,50,55,40,15,30,50,75,45,50,25,45,15,45,15,30,15,20,10,10,25,40,10,15,80,3,2,25,10,15,25,30,30,15,30,35,15,45,40,30,45,55,35,75,55
p00005,Measurement & modeling (2),Male,1993,White / Caucasian,Master's degree / Professional degree,"$168,000 or more",Republican,50,60,40,30,45,25,40,45,35,60,20,25,50,50,70,35,75,30,10,35,45,60,35,10,4,1,55,10,30,40,50,80,50,65,65,25,10,70,40,45,55,10,40,75
p00006,Model accuracy,Male,1970,White / Caucasian,Bachelor's degree,"$100,000 to $167,999",Republican,63,70,91,75,97,32,62,100,47,67,54,60,25,25,10,6,65,0,16,1,66,16,69,13,1,2,27,18,35,14,24,33,34,54,44,51,14,8,15,9,18,1,15,37
p00007,Extreme weather predictions,Male,1999,Hispanic / Latino,Some college or Associate's degree,"$30,000 to $55,999",Republican,75,90,70,60,80,45,65,60,70,50,70,35,30,45,60,35,30,35,65,50,60,70,90,45,1,2,75,50,85,80,25,45,20,10,15,10,50,35,20,90,75,70,90,65
p00008,Scientist community helpers,Male,2004,White / Caucasian,High school diploma / GED,"Less than $30,000",Democrat,70,60,55,50,70,50,55,70,80,70,30,85,30,70,85,90,80,35,80,65,75,65,35,40,1,1,90,80,85,80,35,35,55,50,60,20,90,85,90,80,85,45,80,90
p00009,High public trust,Female,1966,White / Caucasian,Some college or Associate's degree,"$30,000 to $55,999",Republican,25,50,50,50,50,50,75,75,50,25,25,50,75,50,25,25,0,0,25,0,50,75,50,25,3,2,50,0,50,0,0,50,0,0,25,25,50,25,25,75,25,0,25,0
p00010,High public trust,Male,2004,Black / African American,Less than high school,"Less than $30,000",Democrat,40,50,40,30,50,40,50,40,60,30,20,50,50,60,30,50,80,40,30,30,70,90,70,50,2,2,60,50,50,10,10,20,20,10,10,20,60,30,50,50,70,10,90,50
p00011,Funding,Female,1981,White / Caucasian,Master's degree / Professional degree,"$56,000 to $99,999",Democrat,60,70,30,30,70,80,90,80,90,80,70,70,10,70,70,70,80,30,100,90,60,70,80,40,4,2,60,90,80,80,30,30,0,30,90,90,90,90,60,90,90,30,80,70
p00012,Peer-review,Male,1992,White / Caucasian,Master's degree / Professional degree,"$56,000 to $99,999",Republican,80,65,65,75,85,45,30,50,70,45,55,45,10,50,90,60,65,45,55,55,90,90,75,30,1,1,80,45,85,50,25,50,20,40,70,40,25,40,70,15,50,50,55,65
p00013,High public trust,Female,1971,Black / African American,Some college or Associate's degree,"Less than $30,000",Democrat,90,60,90,95,100,85,100,80,85,65,80,55,5,95,90,100,65,100,95,90,85,95,90,10,6,2,95,90,85,90,70,95,30,100,75,65,90,60,80,80,95,25,55,85
p00014,Social justice,Male,1991,White / Caucasian,Bachelor's degree,"$56,000 to $99,999",Democrat,95,80,85,70,90,95,85,90,80,95,55,85,10,85,95,90,90,95,100,90,85,85,95,45,9,2,100,85,85,90,75,60,25,50,85,75,80,85,95,85,85,75,95,100
p00015,Scientist community helpers,Male,1951,White / Caucasian,High school diploma / GED,"$30,000 to $55,999",Independent,63,49,52,64,75,45,56,14,47,54,68,46,74,79,44,65,55,38,34,43,70,71,52,29,1,2,17,33,57,55,28,12,16,25,27,19,52,58,58,62,64,33,77,30
p00016,Former skeptics,Female,1946,White / Caucasian,Less than high school,"$30,000 to $55,999",Democrat,70,20,40,30,10,60,30,60,40,10,70,30,10,70,60,50,40,40,50,50,70,50,10,30,2,2,70,40,70,20,40,30,20,20,80,10,50,20,90,50,70,50,70,70
p00017,Model accuracy,Male,2003,Hispanic / Latino,High school diploma / GED,"$30,000 to $55,999",Republican,40,25,30,45,45,15,35,25,55,25,30,25,30,15,55,50,15,35,65,35,45,45,35,45,0,2,30,25,30,45,35,15,15,10,20,15,40,15,70,55,90,30,50,55
p00018,Consensus,Male,1953,White / Caucasian,Less than high school,"$30,000 to $55,999",Republican,5,50,80,35,10,15,70,15,10,15,5,55,85,30,25,10,5,30,35,5,30,45,90,15,1,2,50,25,5,20,20,10,5,0,20,15,45,15,10,10,20,10,80,30
p00019,control,Female,1976,Hispanic / Latino,Less than high school,"$30,000 to $55,999",Democrat,50,50,50,25,50,50,25,75,50,50,50,50,25,50,50,25,75,50,75,50,50,50,50,50,3,2,75,25,75,50,25,100,50,25,25,25,50,75,50,75,25,50,25,100
p00020,Corporate reliance,Female,1966,White / Caucasian,Master's degree / Professional degree,"$56,000 to $99,999",Democrat,65,100,100,100,95,100,95,70,85,70,100,90,0,95,100,90,75,75,100,70,95,90,75,15,6,2,90,100,85,90,35,70,40,70,100,80,100,70,100,70,100,85,100,90
p00021,Measurement & modeling (2),Male,1940,White / Caucasian,High school diploma / GED,"$30,000 to $55,999",Independent,35,30,35,25,25,20,35,20,50,40,45,15,40,50,60,70,25,15,60,20,75,10,35,55,0,1,50,85,55,50,35,25,10,20,10,15,35,10,50,40,50,20,30,45
p00022,High public trust,Female,1997,White / Caucasian,High school diploma / GED,"$30,000 to $55,999",Republican,20,40,50,10,55,40,30,40,30,30,30,45,60,40,50,40,40,25,15,30,55,50,35,55,0,1,30,20,20,10,25,20,25,35,30,20,20,70,35,30,30,10,40,60
p00023,control,Female,1973,White / Caucasian,Some college or Associate's degree,"$56,000 to $99,999",Republican,35,30,40,45,40,25,30,40,35,35,45,25,55,10,50,30,35,10,45,40,45,45,35,30,8,2,35,45,35,40,35,40,25,15,30,30,40,50,45,90,55,20,65,45
p00024,Measurement & modeling (2),Male,1997,Black / African American,High school diploma / GED,"$56,000 to $99,999",Democrat,65,55,65,80,65,100,70,55,70,55,75,65,5,40,65,65,45,45,50,45,70,80,25,80,0,2,95,100,45,75,45,25,10,0,90,5,65,65,85,75,80,50,80,80
p00025,control,Male,1960,Other,Less than high school,"Less than $30,000",Democrat,30,54,39,64,34,53,52,36,65,34,41,34,28,56,47,45,54,54,57,57,87,71,46,38,1,2,83,50,44,58,25,69,41,40,77,26,9,76,28,58,75,25,29,54
p00026,control,Male,1995,Hispanic / Latino,Some college or Associate's degree,"$168,000 or more",Democrat,90,45,91,62,68,66,66,42,61,64,81,51,8,83,72,61,79,52,66,76,87,71,47,17,4,1,82,90,80,71,78,69,49,51,68,50,71,80,75,78,63,53,46,77
p00027,Interview Prof. Maraun,Female,1988,Black / African American,Bachelor's degree,"$100,000 to $167,999",Democrat,95,20,85,65,80,95,45,100,45,95,80,100,85,95,95,50,95,100,100,85,100,100,70,50,10,2,85,100,100,90,70,95,75,75,100,65,90,95,65,100,70,75,90,100
p00028,Portrait Prof. Cherry,Male,1990,Hispanic / Latino,High school diploma / GED,"Less than $30,000",Democrat,90,90,70,90,70,90,80,80,80,50,100,10,10,100,70,70,90,80,90,90,60,70,90,60,3,2,90,90,90,90,60,70,50,30,100,30,90,70,70,100,30,20,60,90
p00029,Interview Prof. Maraun,Female,1955,White / Caucasian,High school diploma / GED,"$30,000 to $55,999",Democrat,40,50,10,30,50,50,10,50,30,30,30,20,0,50,70,20,10,40,50,40,70,50,60,30,0,2,40,80,0,50,0,20,10,30,10,10,30,0,20,50,80,40,40,40
p00030,Oil industry misinformation,Female,1979,Hispanic / Latino,Some college or Associate's degree,"Less than $30,000",Democrat,66,47,66,71,48,71,85,54,39,67,11,69,20,70,58,70,90,66,79,90,78,66,65,22,4,2,90,82,72,76,72,68,67,28,11,11,53,62,52,84,79,28,88,91
p00031,Interview Prof. Sebille,Male,1966,Hispanic / Latino,Bachelor's degree,"$56,000 to $99,999",Democrat,55,65,70,55,90,65,45,55,15,65,70,70,10,70,60,70,25,35,70,60,75,55,70,30,10,2,75,30,30,40,85,60,45,50,35,55,50,60,80,90,65,65,85,60
p00032,Measurement & modeling (2),Female,1991,Asian / Asian American,Master's degree / Professional degree,"$100,000 to $167,999",Democrat,100,90,100,100,90,100,100,100,100,90,90,90,20,100,90,100,100,100,100,100,90,100,100,10,5,1,90,90,90,100,100,100,90,100,100,100,100,100,90,90,90,90,100,70
p00033,control,Female,1950,Black / African American,Some college or Associate's degree,"$30,000 to $55,999",Democrat,60,90,70,70,70,100,100,100,90,90,100,60,10,50,40,80,40,80,100,80,70,90,70,40,5,2,90,100,100,100,60,30,0,70,60,100,50,100,80,90,90,50,90,100
